transaction_description,amount,date,category
Barbeque Nation,52.22,2023-01-30,Dining
Swiggy,256.66,2023-06-23,Dining
Barbeque Nation,804.9,2023-10-03,Dining
Indane Gas,114.1,2023-07-26,Utilities
Apollo Pharmacy,404.94,2023-10-16,Healthcare
Ajio,660.39,2023-12-21,Shopping
Apollo Pharmacy,478.54,2022-06-20,Healthcare
Indane Gas,104.14,2023-02-16,Utilities
PhonePe,219.55,2023-11-05,Others
Indane Gas,765.76,2023-09-07,Utilities
BYJU'S,403.97,2022-11-19,Education
PhonePe,2.62,2023-01-16,Others
MedPlus,715.63,2022-11-28,Healthcare
Barbeque Nation,17.97,2023-07-13,Dining
McDonald's,684.69,2023-07-18,Dining
IRCTC,113.12,2023-04-09,Travel
Vedantu,1585.92,2022-01-01,Education
D-Mart,229.39,2023-09-03,Groceries
Nature's Basket,197.95,2022-05-19,Groceries
Uber,80.61,2022-11-04,Travel
Swiggy,182.36,2022-11-19,Dining
D-Mart,1046.37,2023-07-21,Groceries
UPI Transfer,2804.37,2023-08-08,Others
BESCOM,229.68,2022-02-08,Utilities
BYJU'S,297.66,2022-06-09,Education
BSNL Bill,640.19,2023-01-11,Utilities
Swiggy,1086.64,2022-09-20,Dining
Uber,449.53,2023-08-08,Travel
Fortis Hospital,248.4,2022-08-11,Healthcare
Hotstar,266.04,2023-05-10,Entertainment
Water Board,594.74,2023-12-08,Utilities
Spotify,1.61,2023-10-20,Entertainment
Uber,483.25,2023-08-14,Travel
Apollo Pharmacy,219.63,2022-02-27,Healthcare
Myntra,790.42,2023-03-21,Shopping
Apollo Pharmacy,48.8,2022-08-21,Healthcare
Spencer's,443.61,2022-02-25,Groceries
Indigo Airlines,327.9,2022-02-12,Travel
Tata CLiQ,514.07,2023-08-02,Shopping
BSNL Bill,33.53,2023-05-30,Utilities
Swiggy,433.73,2022-02-21,Dining
MedPlus,412.18,2023-09-02,Healthcare
Paytm Recharge,411.24,2022-08-16,Others
Practo,462.52,2023-02-08,Healthcare
Mahanagar Gas,564.23,2022-12-11,Utilities
BookMyShow,817.35,2023-08-09,Entertainment
Nature's Basket,157.23,2023-02-13,Groceries
Uber,871.63,2023-02-13,Travel
ATM Withdrawal,344.83,2023-12-16,Others
Mahanagar Gas,40.09,2023-05-08,Utilities
Google Pay,30.17,2023-05-15,Others
Fortis Hospital,203.41,2022-07-20,Healthcare
UPI Transfer,768.32,2023-06-21,Others
Swiggy,614.95,2022-03-15,Dining
Air India,777.04,2022-11-28,Travel
PVR Cinemas,364.15,2023-11-19,Entertainment
MedPlus,290.09,2023-01-10,Healthcare
Flipkart,79.76,2022-11-25,Shopping
Tata CLiQ,198.89,2023-11-03,Shopping
D-Mart,284.6,2022-06-23,Groceries
Tata CLiQ,46.39,2023-03-29,Shopping
Water Board,124.62,2022-02-15,Utilities
Swiggy,455.93,2023-12-03,Dining
Flipkart,665.27,2022-03-29,Shopping
PVR Cinemas,3202.74,2022-09-06,Entertainment
BSNL Bill,1352.38,2022-01-15,Utilities
Amazon,514.4,2022-11-09,Shopping
Vedantu,273.44,2022-01-24,Education
Flipkart,505.54,2023-07-05,Shopping
Swiggy,770.08,2023-07-14,Dining
PhonePe,62.97,2023-07-16,Others
Unacademy,263.74,2022-05-25,Education
Spencer's,915.67,2023-08-20,Groceries
Paytm Recharge,242.12,2022-09-19,Others
BESCOM,424.17,2022-10-18,Utilities
Barbeque Nation,443.09,2022-10-05,Dining
Spencer's,101.96,2023-11-02,Groceries
Big Bazaar,224.89,2023-02-02,Groceries
IRCTC,203.62,2022-04-21,Travel
D-Mart,13.27,2023-10-27,Groceries
1mg,12.24,2023-01-25,Healthcare
Paytm Recharge,890.99,2022-11-20,Others
Unacademy,159.46,2023-06-29,Education
Netflix,364.99,2022-07-23,Entertainment
ATM Withdrawal,177.43,2023-07-29,Others
Big Bazaar,1412.4,2022-09-11,Groceries
PhonePe,150.08,2022-12-08,Others
Vedantu,280.76,2022-06-10,Education
D-Mart,1030.72,2023-12-02,Groceries
Myntra,922.37,2023-10-03,Shopping
Ola,102.96,2023-05-29,Travel
Uber,811.37,2023-10-03,Travel
Air India,306.42,2022-01-31,Travel
PhonePe,329.83,2022-08-19,Others
BSNL Bill,71.64,2023-02-07,Utilities
BESCOM,42.02,2023-01-27,Utilities
UPI Transfer,650.87,2023-10-03,Others
McDonald's,343.05,2022-09-04,Dining
Water Board,287.11,2022-11-16,Utilities
Ajio,653.76,2023-07-10,Shopping
Mahanagar Gas,725.18,2023-10-31,Utilities
Indane Gas,86.53,2023-07-09,Utilities
Swiggy,471.09,2022-11-13,Dining
Google Pay,72.72,2023-03-17,Others
Indane Gas,695.9,2022-06-11,Utilities
Amazon,534.95,2023-07-25,Shopping
Paytm Recharge,1568.82,2022-07-08,Others
Flipkart,35.73,2022-01-31,Shopping
Ajio,29.37,2023-02-26,Shopping
Air India,165.77,2023-10-15,Travel
Ola,151.71,2022-07-12,Travel
Netflix,141.83,2022-07-09,Entertainment
Nature's Basket,1183.59,2023-09-24,Groceries
Indigo Airlines,143.54,2023-08-04,Travel
Barbeque Nation,158.69,2022-08-26,Dining
Zomato,712.31,2023-01-03,Dining
BookMyShow,298.68,2022-05-18,Entertainment
UPI Transfer,749.64,2023-04-26,Others
Flipkart,33.8,2023-02-01,Shopping
Vedantu,334.3,2022-05-21,Education
Mahanagar Gas,17.1,2022-08-20,Utilities
Spencer's,32.35,2022-01-16,Groceries
Air India,1184.56,2022-08-16,Travel
Swiggy,74.97,2022-03-09,Dining
Water Board,380.09,2023-09-24,Utilities
BYJU'S,264.75,2023-04-14,Education
McDonald's,213.35,2023-02-19,Dining
Nature's Basket,1150.46,2023-01-25,Groceries
Ajio,11.03,2023-09-19,Shopping
UPI Transfer,545.01,2023-10-19,Others
Nature's Basket,1653.78,2022-04-22,Groceries
Vedantu,410.68,2022-02-13,Education
Barbeque Nation,1380.9,2023-07-05,Dining
Apollo Pharmacy,26.84,2023-07-26,Healthcare
Fortis Hospital,271.32,2023-10-08,Healthcare
Reliance Fresh,150.66,2022-10-26,Groceries
Vedantu,656.19,2022-11-08,Education
Air India,1989.54,2022-06-20,Travel
Practo,148.21,2023-09-20,Healthcare
Nature's Basket,530.91,2022-05-26,Groceries
Vedantu,110.38,2022-04-03,Education
Paytm Recharge,416.58,2022-07-04,Others
Google Pay,311.75,2023-02-07,Others
Practo,1787.87,2023-04-07,Healthcare
Reliance Fresh,468.92,2023-04-10,Groceries
McDonald's,215.01,2022-04-03,Dining
IRCTC,60.57,2023-12-10,Travel
BESCOM,81.99,2022-04-04,Utilities
BookMyShow,127.65,2023-10-12,Entertainment
Amazon,144.49,2023-06-21,Shopping
Fortis Hospital,950.62,2023-09-19,Healthcare
Water Board,411.88,2023-07-18,Utilities
Apollo Pharmacy,370.53,2022-06-24,Healthcare
Tata CLiQ,60.95,2023-11-07,Shopping
Mahanagar Gas,983.56,2022-05-29,Utilities
BESCOM,641.53,2023-03-06,Utilities
IRCTC,35.03,2023-04-02,Travel
Ola,615.22,2022-05-01,Travel
Mahanagar Gas,392.13,2022-01-04,Utilities
Uber,42.63,2023-04-15,Travel
Vedantu,306.52,2023-07-11,Education
Nature's Basket,331.5,2023-05-21,Groceries
Swiggy,90.63,2023-08-26,Dining
Vedantu,1456.6,2023-02-24,Education
Coursera,948.48,2023-09-08,Education
Reliance Fresh,552.85,2023-07-15,Groceries
Indigo Airlines,310.22,2023-10-06,Travel
Google Pay,265.31,2022-02-20,Others
Mahanagar Gas,526.3,2022-02-26,Utilities
Amazon,394.2,2022-05-29,Shopping
Nature's Basket,32.15,2023-09-10,Groceries
IRCTC,359.24,2022-03-31,Travel
Big Bazaar,820.99,2023-03-03,Groceries
Mahanagar Gas,307.39,2023-11-20,Utilities
Indigo Airlines,26.68,2023-11-08,Travel
Google Pay,771.54,2023-04-12,Others
Amazon,112.42,2022-04-06,Shopping
IRCTC,149.62,2023-01-13,Travel
Apollo Pharmacy,89.99,2023-03-14,Healthcare
Paytm Recharge,200.4,2022-10-27,Others
Udemy,706.84,2022-05-05,Education
IRCTC,366.35,2023-06-24,Travel
Fortis Hospital,114.63,2022-08-03,Healthcare
Barbeque Nation,1051.17,2022-03-01,Dining
Spotify,1058.39,2023-10-07,Entertainment
Paytm Recharge,1022.34,2023-05-11,Others
Air India,136.43,2023-09-16,Travel
Myntra,300.05,2023-06-23,Shopping
Flipkart,2099.51,2023-09-22,Shopping
Unacademy,739.23,2023-10-10,Education
Vedantu,13.77,2022-07-04,Education
Domino's,33.71,2022-07-18,Dining
Big Bazaar,311.75,2022-01-25,Groceries
Coursera,1199.66,2022-08-01,Education
MedPlus,386.86,2022-02-16,Healthcare
Myntra,344.39,2023-07-28,Shopping
Zomato,55.73,2023-10-18,Dining
Domino's,534.69,2022-09-18,Dining
Hotstar,863.28,2022-11-04,Entertainment
UPI Transfer,239.36,2022-11-28,Others
Big Bazaar,747.19,2023-12-04,Groceries
Myntra,1668.78,2023-02-10,Shopping
Reliance Fresh,113.93,2022-07-18,Groceries
Myntra,370.47,2023-11-20,Shopping
Vedantu,169.23,2022-02-06,Education
Water Board,787.17,2022-06-09,Utilities
Unacademy,430.89,2022-12-10,Education
Vedantu,503.36,2022-02-27,Education
PhonePe,799.53,2023-08-02,Others
Tata CLiQ,252.07,2023-07-03,Shopping
Reliance Fresh,1233.08,2023-08-15,Groceries
Myntra,380.74,2022-03-09,Shopping
BSNL Bill,85.96,2022-02-01,Utilities
Ajio,595.2,2023-10-04,Shopping
Google Pay,788.15,2023-08-08,Others
1mg,190.46,2023-09-02,Healthcare
Hotstar,973.08,2023-12-24,Entertainment
Amazon,1182.99,2022-10-06,Shopping
Apollo Pharmacy,162.11,2023-05-24,Healthcare
Domino's,2052.85,2023-04-08,Dining
Ola,75.83,2023-06-22,Travel
Ola,112.83,2022-04-25,Travel
Amazon,101.81,2022-07-26,Shopping
BookMyShow,1122.11,2023-06-03,Entertainment
Spencer's,531.08,2023-05-28,Groceries
Mahanagar Gas,82.5,2022-12-15,Utilities
Unacademy,290.2,2022-11-14,Education
Flipkart,477.64,2022-04-11,Shopping
Google Pay,43.58,2022-07-30,Others
Spencer's,1070.3,2023-02-01,Groceries
Paytm Recharge,813.81,2022-01-05,Others
Uber,351.81,2023-12-05,Travel
Hotstar,1707.55,2023-04-24,Entertainment
Big Bazaar,270.44,2023-06-18,Groceries
Uber,2071.04,2023-08-15,Travel
Ola,551.19,2022-11-25,Travel
Swiggy,503.48,2022-10-21,Dining
Indigo Airlines,90.73,2022-11-23,Travel
Coursera,1068.23,2022-10-07,Education
Mahanagar Gas,278.86,2022-10-08,Utilities
PVR Cinemas,88.51,2023-09-30,Entertainment
UPI Transfer,6.34,2022-04-15,Others
Barbeque Nation,410.21,2022-12-25,Dining
PhonePe,374.75,2022-10-05,Others
BSNL Bill,635.33,2023-08-11,Utilities
Swiggy,1104.81,2022-03-14,Dining
Indigo Airlines,41.37,2022-12-13,Travel
ATM Withdrawal,657.45,2022-02-21,Others
BESCOM,103.77,2023-04-28,Utilities
Big Bazaar,976.59,2023-01-28,Groceries
Big Bazaar,854.8,2023-03-13,Groceries
1mg,389.13,2023-12-23,Healthcare
Unacademy,619.36,2022-12-31,Education
IRCTC,188.69,2022-07-22,Travel
Paytm Recharge,318.54,2023-04-22,Others
BESCOM,861.97,2023-12-17,Utilities
Coursera,307.41,2023-04-12,Education
Air India,221.43,2023-04-27,Travel
Swiggy,340.82,2022-05-28,Dining
IRCTC,880.86,2023-02-06,Travel
BSNL Bill,204.14,2022-11-29,Utilities
Vedantu,95.44,2022-01-31,Education
BookMyShow,622.42,2022-04-26,Entertainment
Ajio,874.29,2023-04-18,Shopping
BSNL Bill,53.03,2022-12-23,Utilities
Indane Gas,137.14,2022-04-16,Utilities
Apollo Pharmacy,76.56,2022-11-30,Healthcare
Paytm Recharge,213.81,2022-11-06,Others
ATM Withdrawal,299.24,2023-02-15,Others
1mg,690.81,2023-09-28,Healthcare
Barbeque Nation,526.55,2022-06-12,Dining
Vedantu,485.02,2022-03-09,Education
Flipkart,217.22,2023-12-12,Shopping
MedPlus,920.83,2023-08-04,Healthcare
Tata CLiQ,318.65,2023-12-12,Shopping
Swiggy,1934.12,2023-11-10,Dining
Spotify,502.76,2023-05-14,Entertainment
Spotify,67.49,2023-09-03,Entertainment
BYJU'S,563.78,2023-07-23,Education
BookMyShow,196.6,2022-06-30,Entertainment
Air India,579.7,2022-03-13,Travel
Spotify,36.09,2023-01-24,Entertainment
Ajio,96.11,2023-10-23,Shopping
Big Bazaar,968.06,2022-08-11,Groceries
Indane Gas,128.85,2023-10-14,Utilities
Reliance Fresh,907.13,2023-11-08,Groceries
Water Board,163.75,2023-06-29,Utilities
Air India,514.84,2023-09-23,Travel
Udemy,592.33,2022-07-30,Education
Myntra,359.39,2023-08-07,Shopping
Air India,182.15,2022-12-19,Travel
Spotify,119.54,2022-01-09,Entertainment
ATM Withdrawal,16.88,2022-05-11,Others
Uber,181.16,2023-01-14,Travel
Paytm Recharge,529.45,2022-01-01,Others
PhonePe,1392.77,2022-04-23,Others
Uber,1024.76,2022-08-29,Travel
Fortis Hospital,726.36,2023-02-08,Healthcare
Ajio,776.64,2023-02-20,Shopping
MedPlus,546.79,2023-07-13,Healthcare
Swiggy,150.75,2023-05-02,Dining
Mahanagar Gas,1188.63,2023-07-23,Utilities
Practo,555.44,2023-03-04,Healthcare
BSNL Bill,410.99,2023-11-18,Utilities
Mahanagar Gas,58.82,2022-01-12,Utilities
PVR Cinemas,296.25,2022-05-28,Entertainment
Vedantu,308.42,2022-05-20,Education
Netflix,999.63,2023-10-20,Entertainment
MedPlus,395.54,2023-12-14,Healthcare
Fortis Hospital,239.34,2022-07-04,Healthcare
Unacademy,1881.81,2023-03-11,Education
ATM Withdrawal,58.67,2023-01-29,Others
Flipkart,274.57,2022-07-10,Shopping
Fortis Hospital,21.47,2022-01-08,Healthcare
Udemy,673.35,2023-12-31,Education
PhonePe,1250.99,2023-02-25,Others
UPI Transfer,164.28,2023-01-11,Others
Big Bazaar,977.17,2023-08-05,Groceries
BYJU'S,172.81,2022-04-26,Education
Coursera,1208.27,2022-05-26,Education
PhonePe,701.13,2023-04-22,Others
Paytm Recharge,817.14,2023-06-20,Others
Netflix,9.09,2023-04-29,Entertainment
Spotify,1645.86,2023-08-17,Entertainment
Indigo Airlines,648.54,2022-02-24,Travel
Tata CLiQ,181.74,2022-01-12,Shopping
Vedantu,884.2,2023-06-09,Education
Unacademy,165.31,2022-12-06,Education
Practo,1030.82,2022-10-29,Healthcare
Ola,59.72,2022-02-06,Travel
Indigo Airlines,608.17,2022-09-24,Travel
Spencer's,389.02,2023-08-16,Groceries
Indane Gas,50.76,2022-02-22,Utilities
Indigo Airlines,138.47,2022-01-28,Travel
Air India,6.24,2022-03-26,Travel
Indane Gas,316.28,2022-03-20,Utilities
IRCTC,179.24,2022-05-16,Travel
IRCTC,456.1,2022-09-21,Travel
Big Bazaar,176.37,2023-09-11,Groceries
Indane Gas,178.28,2022-06-04,Utilities
BYJU'S,679.72,2022-06-29,Education
Ola,24.67,2023-05-12,Travel
Indane Gas,1165.98,2022-02-03,Utilities
Amazon,956.16,2022-05-29,Shopping
Water Board,551.02,2023-02-27,Utilities
1mg,449.74,2023-11-08,Healthcare
Udemy,1114.21,2022-08-04,Education
Amazon,102.49,2023-10-20,Shopping
Uber,41.13,2022-02-23,Travel
Water Board,136.9,2023-02-13,Utilities
BYJU'S,791.35,2023-05-03,Education
Google Pay,17.64,2023-01-24,Others
MedPlus,437.1,2022-09-26,Healthcare
Indane Gas,2694.94,2023-03-22,Utilities
D-Mart,967.92,2023-04-05,Groceries
Practo,368.49,2023-06-27,Healthcare
Big Bazaar,32.88,2023-06-29,Groceries
Ajio,890.03,2023-09-18,Shopping
IRCTC,456.87,2022-10-04,Travel
Uber,61.05,2022-09-19,Travel
MedPlus,49.28,2023-11-23,Healthcare
Barbeque Nation,1201.9,2022-07-19,Dining
PhonePe,553.12,2023-11-25,Others
BSNL Bill,883.89,2023-07-15,Utilities
Big Bazaar,1055.9,2022-03-11,Groceries
Spencer's,424.05,2022-04-11,Groceries
Paytm Recharge,364.33,2023-12-03,Others
BYJU'S,281.43,2022-08-13,Education
IRCTC,190.59,2022-07-17,Travel
Big Bazaar,285.11,2023-09-27,Groceries
PVR Cinemas,743.34,2023-09-01,Entertainment
Barbeque Nation,460.56,2023-10-16,Dining
PVR Cinemas,1115.24,2022-03-30,Entertainment
Water Board,292.94,2023-11-04,Utilities
BESCOM,467.09,2023-12-14,Utilities
BSNL Bill,498.9,2022-10-29,Utilities
Coursera,447.87,2023-10-17,Education
BYJU'S,606.4,2023-03-14,Education
Myntra,135.53,2022-06-15,Shopping
Hotstar,359.09,2022-03-05,Entertainment
MedPlus,55.03,2022-12-07,Healthcare
D-Mart,242.67,2022-09-29,Groceries
Water Board,334.39,2022-03-13,Utilities
Udemy,528.1,2023-09-17,Education
1mg,1503.21,2023-10-23,Healthcare
Coursera,458.96,2022-05-28,Education
ATM Withdrawal,680.5,2022-08-12,Others
BookMyShow,352.88,2022-09-23,Entertainment
PVR Cinemas,502.7,2022-03-16,Entertainment
Spotify,36.79,2022-09-14,Entertainment
Coursera,146.78,2023-05-25,Education
BESCOM,224.59,2022-02-08,Utilities
Practo,319.8,2022-06-05,Healthcare
Ajio,23.36,2023-08-12,Shopping
Nature's Basket,75.43,2023-12-26,Groceries
Vedantu,162.04,2023-03-23,Education
Apollo Pharmacy,1779.5,2023-07-08,Healthcare
Zomato,201.25,2023-01-29,Dining
Coursera,328.93,2023-08-04,Education
PhonePe,109.14,2022-12-08,Others
Air India,471.81,2022-02-26,Travel
Hotstar,164.73,2023-07-02,Entertainment
Amazon,115.96,2023-04-16,Shopping
Ola,363.43,2022-06-30,Travel
Paytm Recharge,2.76,2023-01-29,Others
Domino's,3.85,2023-12-14,Dining
Apollo Pharmacy,123.63,2023-10-08,Healthcare
Ajio,18.71,2022-03-28,Shopping
Udemy,57.16,2022-05-24,Education
Reliance Fresh,206.9,2022-01-26,Groceries
McDonald's,811.23,2023-02-03,Dining
Spotify,424.37,2023-10-21,Entertainment
Air India,359.4,2023-07-01,Travel
Coursera,173.71,2022-02-07,Education
Amazon,1342.32,2022-12-12,Shopping
Spencer's,252.93,2022-05-02,Groceries
Barbeque Nation,45.56,2023-04-15,Dining
Google Pay,479.95,2023-08-17,Others
Zomato,60.43,2022-02-07,Dining
Water Board,211.73,2023-11-01,Utilities
Spencer's,354.04,2023-09-26,Groceries
Reliance Fresh,1036.62,2023-12-20,Groceries
BESCOM,340.16,2022-06-26,Utilities
D-Mart,605.77,2022-04-10,Groceries
Unacademy,2468.01,2022-06-24,Education
PVR Cinemas,70.49,2022-04-27,Entertainment
Unacademy,160.61,2023-09-23,Education
Zomato,250.91,2022-07-27,Dining
Practo,273.94,2023-11-26,Healthcare
Practo,264.68,2022-05-04,Healthcare
Google Pay,1190.87,2022-11-26,Others
Zomato,625.94,2023-08-31,Dining
BSNL Bill,468.13,2022-03-06,Utilities
Hotstar,185.08,2022-05-25,Entertainment
1mg,868.04,2023-12-15,Healthcare
Tata CLiQ,1551.22,2022-06-18,Shopping
Udemy,860.74,2023-08-19,Education
Reliance Fresh,0.78,2022-04-13,Groceries
1mg,505.85,2022-01-17,Healthcare
Coursera,26.24,2022-01-07,Education
Reliance Fresh,148.94,2022-04-02,Groceries
Air India,30.68,2023-12-12,Travel
Udemy,462.91,2022-07-31,Education
BSNL Bill,580.12,2023-06-20,Utilities
Vedantu,60.79,2022-09-02,Education
Indane Gas,242.12,2023-12-10,Utilities
Nature's Basket,304.62,2022-07-04,Groceries
Unacademy,230.27,2022-04-01,Education
IRCTC,64.5,2023-03-05,Travel
Nature's Basket,271.46,2022-08-30,Groceries
Zomato,695.51,2023-06-27,Dining
Spotify,36.83,2023-01-06,Entertainment
UPI Transfer,41.79,2022-08-13,Others
Udemy,219.08,2022-10-11,Education
Reliance Fresh,1421.3,2022-04-26,Groceries
Water Board,552.17,2023-05-25,Utilities
Mahanagar Gas,567.64,2023-11-18,Utilities
Big Bazaar,224.65,2023-10-23,Groceries
Myntra,450.28,2022-08-03,Shopping
Practo,5.09,2022-12-09,Healthcare
Coursera,505.43,2022-04-17,Education
Nature's Basket,1222.58,2022-06-30,Groceries
BESCOM,474.11,2023-05-12,Utilities
Paytm Recharge,1034.54,2022-03-14,Others
McDonald's,643.63,2023-08-30,Dining
Ajio,64.23,2022-07-23,Shopping
Flipkart,1163.71,2022-04-23,Shopping
Flipkart,34.38,2022-04-11,Shopping
McDonald's,381.75,2022-07-24,Dining
1mg,76.66,2022-03-17,Healthcare
Unacademy,5.89,2023-05-12,Education
Spencer's,274.12,2022-05-29,Groceries
Barbeque Nation,174.81,2023-04-11,Dining
Water Board,332.77,2023-01-18,Utilities
Water Board,430.43,2022-07-18,Utilities
Myntra,22.36,2022-07-27,Shopping
Flipkart,65.63,2022-02-02,Shopping
D-Mart,408.95,2022-05-20,Groceries
BookMyShow,210.16,2023-04-15,Entertainment
1mg,653.14,2022-12-18,Healthcare
Domino's,528.2,2023-09-11,Dining
Indane Gas,934.12,2022-06-24,Utilities
Google Pay,589.63,2022-03-30,Others
Fortis Hospital,281.0,2023-05-16,Healthcare
Barbeque Nation,558.85,2023-04-30,Dining
BYJU'S,161.05,2022-01-15,Education
1mg,182.87,2022-09-11,Healthcare
Ajio,777.91,2023-08-17,Shopping
Barbeque Nation,295.67,2022-06-02,Dining
Spencer's,800.69,2022-02-15,Groceries
Spencer's,864.17,2023-06-01,Groceries
Spencer's,974.43,2023-06-28,Groceries
MedPlus,1242.26,2023-12-15,Healthcare
BookMyShow,281.92,2023-05-23,Entertainment
Zomato,192.0,2023-07-26,Dining
Spencer's,436.37,2022-08-12,Groceries
BSNL Bill,231.95,2022-10-30,Utilities
Zomato,459.49,2022-01-17,Dining
BYJU'S,611.38,2022-06-15,Education
Unacademy,583.03,2023-08-21,Education
Spencer's,234.64,2023-04-20,Groceries
Water Board,91.28,2022-07-09,Utilities
Ajio,281.52,2023-12-22,Shopping
Big Bazaar,76.92,2023-01-30,Groceries
Tata CLiQ,1104.08,2022-02-03,Shopping
Air India,212.23,2022-10-04,Travel
UPI Transfer,83.89,2022-08-01,Others
Spotify,12.89,2022-12-10,Entertainment
Nature's Basket,518.98,2023-11-22,Groceries
Amazon,506.54,2022-04-24,Shopping
Practo,208.22,2023-04-22,Healthcare
D-Mart,37.21,2023-01-11,Groceries
Indane Gas,263.5,2023-12-23,Utilities
Spotify,186.41,2023-12-28,Entertainment
Swiggy,565.24,2022-12-09,Dining
Barbeque Nation,465.42,2022-04-27,Dining
Unacademy,226.75,2023-12-21,Education
Swiggy,122.88,2022-11-25,Dining
Myntra,2212.93,2023-05-31,Shopping
Practo,302.57,2022-02-25,Healthcare
Hotstar,582.82,2022-12-20,Entertainment
Vedantu,75.73,2023-05-29,Education
Paytm Recharge,332.37,2023-04-27,Others
UPI Transfer,13.96,2022-10-27,Others
Unacademy,352.06,2023-01-12,Education
Netflix,1662.36,2023-04-14,Entertainment
PVR Cinemas,242.42,2023-02-05,Entertainment
BSNL Bill,19.89,2022-03-20,Utilities
Netflix,15.72,2022-10-10,Entertainment
Netflix,245.5,2023-05-24,Entertainment
Mahanagar Gas,87.19,2023-06-18,Utilities
D-Mart,11.81,2023-03-03,Groceries
Google Pay,705.73,2023-05-01,Others
Ajio,306.73,2023-03-31,Shopping
D-Mart,170.71,2022-07-13,Groceries
PVR Cinemas,1151.71,2022-08-26,Entertainment
PhonePe,61.73,2023-02-26,Others
Myntra,1560.86,2023-05-13,Shopping
UPI Transfer,188.41,2023-04-01,Others
BYJU'S,1096.43,2023-08-04,Education
BSNL Bill,461.84,2022-06-25,Utilities
Ola,876.39,2023-05-11,Travel
Myntra,2067.99,2022-02-18,Shopping
BSNL Bill,170.12,2022-10-19,Utilities
Udemy,1623.84,2023-09-26,Education
Indane Gas,246.72,2022-10-20,Utilities
Mahanagar Gas,243.48,2023-12-27,Utilities
Mahanagar Gas,208.05,2022-09-01,Utilities
PVR Cinemas,389.8,2022-11-21,Entertainment
Water Board,83.7,2022-09-24,Utilities
Flipkart,403.39,2022-07-30,Shopping
Paytm Recharge,390.12,2023-11-13,Others
Myntra,717.54,2022-06-01,Shopping
Ajio,896.83,2023-07-07,Shopping
Indane Gas,290.3,2022-11-05,Utilities
PVR Cinemas,180.01,2023-02-19,Entertainment
Udemy,150.1,2023-04-15,Education
Flipkart,108.22,2022-01-05,Shopping
UPI Transfer,29.69,2022-12-06,Others
Air India,209.62,2022-10-24,Travel
Indane Gas,157.53,2023-03-29,Utilities
Amazon,1696.87,2023-05-06,Shopping
Reliance Fresh,407.89,2023-11-26,Groceries
Paytm Recharge,213.3,2022-11-12,Others
Spencer's,434.31,2023-09-25,Groceries
McDonald's,74.94,2023-01-01,Dining
Hotstar,293.53,2022-02-26,Entertainment
Barbeque Nation,492.06,2023-06-24,Dining
Domino's,335.59,2022-07-20,Dining
Big Bazaar,256.9,2023-07-06,Groceries
Coursera,2545.52,2023-06-09,Education
1mg,1061.45,2023-05-18,Healthcare
Tata CLiQ,488.29,2023-09-12,Shopping
Paytm Recharge,421.26,2023-11-14,Others
Ajio,484.66,2022-06-01,Shopping
Practo,112.39,2023-01-31,Healthcare
Amazon,251.38,2022-10-19,Shopping
Myntra,20.13,2022-11-12,Shopping
Unacademy,322.7,2022-03-31,Education
McDonald's,391.56,2023-03-02,Dining
BYJU'S,129.22,2022-06-17,Education
MedPlus,1662.52,2022-05-23,Healthcare
Netflix,1200.95,2022-08-01,Entertainment
Air India,640.32,2023-06-22,Travel
Amazon,381.13,2023-08-28,Shopping
Apollo Pharmacy,1019.99,2022-01-07,Healthcare
Practo,70.01,2023-03-01,Healthcare
Indane Gas,781.54,2023-04-19,Utilities
Mahanagar Gas,66.66,2022-07-10,Utilities
Practo,790.45,2023-07-22,Healthcare
Coursera,161.32,2022-11-06,Education
Air India,1048.15,2023-07-27,Travel
Udemy,1441.58,2022-01-28,Education
Reliance Fresh,80.55,2022-09-26,Groceries
Air India,310.58,2022-05-08,Travel
Air India,1981.33,2022-07-03,Travel
Udemy,330.25,2022-01-30,Education
Hotstar,995.89,2023-05-20,Entertainment
Spotify,444.25,2023-01-06,Entertainment
Unacademy,235.27,2023-03-23,Education
Air India,168.28,2023-12-12,Travel
Hotstar,113.59,2023-06-09,Entertainment
D-Mart,717.32,2022-06-16,Groceries
Reliance Fresh,244.32,2022-11-24,Groceries
Udemy,357.98,2023-01-01,Education
BESCOM,338.96,2022-10-07,Utilities
Ajio,430.52,2023-10-14,Shopping
Amazon,1003.38,2022-10-24,Shopping
Indigo Airlines,1974.85,2023-10-17,Travel
Spotify,261.77,2022-07-18,Entertainment
